sno,value,id,latitude,longitude,hasMenu,rating
338,2928,la Madeleine Country French Café,33.09421716,-96.81579396,TRUE,8.4
339,615,Modmarket,33.09222611,-96.80488726,TRUE,8.3
340,1069,The Great Outdoors,33.09895417,-96.80420713,TRUE,8.3
341,4917,Chipotle Mexican Grill,33.10727021,-96.80626631,TRUE,7.5
342,1506,Norma's Cafe,33.10314956,-96.81222262,TRUE,7.9
343,381,Piada Italian Street Food,33.10679382,-96.80626323,TRUE,7.6
344,280,Leo's Street Taco Co.,33.10013376,-96.80456289,TRUE,8.9
345,2243,Buca di Beppo Italian Restaurant,33.096603,-96.809955,TRUE,8
346,415,Holy Frijoles,33.10033197,-96.73494101,TRUE,7.7
347,379,Raising Cane's Chicken Fingers,33.12923601,-96.73381596,TRUE,9
348,3452,Chick-fil-A Custer & 121,33.12766393,-96.72855885,TRUE,8.4
349,1194,Durkin's Pizza,33.12994726,-96.73237881,TRUE,8.3
350,405,Wendy's,33.10032748,-96.7316258,TRUE,8.5
351,132,Tokyo Joe's,33.12860567,-96.73266101,TRUE,8.7
352,783,Which Wich? Superior Sandwiches,33.12674744,-96.73181964,TRUE,8
353,3514,Rusty Taco,33.08634598,-96.77122593,TRUE,9
354,520,Verona Italian Cafe,33.11075026,-96.76622028,TRUE,8.5
355,3168,Whataburger,33.128231,-96.727046,TRUE,8.2
356,4519,Torchy's Tacos,33.10127677,-96.68730531,TRUE,8.7
357,1030,Einstein Bros Bagels,33.0725331,-96.7484828,TRUE,7.3
358,507,Angelo & Vito's Pizzeria,33.072479,-96.748938,TRUE,8.8
359,2798,Pei Wei,33.10130428,-96.68775907,TRUE,8.7
360,3505,Chick-fil-A Twin Creeks Village,33.10194167,-96.68300231,TRUE,8.6
361,426,Spazo Restaurant and Bar,33.10062,-96.695272,TRUE,8.2
362,3632,Grimaldi's,33.0888629,-96.68383956,TRUE,6.9
363,1692,Jason's Deli,33.102185,-96.68431913,TRUE,7.2
364,2819,Salsa Tex Mex,33.070778,-96.751947,TRUE,8.3
365,2624,The Blue Fish Allen,33.08875272,-96.68449579,TRUE,7.6
366,250,Palio's Pizza Cafe,33.08762284,-96.73605274,TRUE,8.3
367,2753,P.F. Chang's,33.0897,-96.68228,TRUE,9
368,238,Tai Sushi House,33.1532005,-96.7232759,TRUE,9.3
369,765,5th Street Pizza,33.10390366,-96.6793784,TRUE,8.8
370,655,Silver Thai Cuisine,33.10238496,-96.68381693,TRUE,8.7
371,114,Coconut Express,33.10009884,-96.73089467,TRUE,8.6
372,1232,Einstein Bros Bagels,33.12825278,-96.73265383,TRUE,8.5
373,3435,Village Burger Bar,33.088703,-96.684876,TRUE,8.6
374,218,Thai Pan,33.0997628,-96.69759706,TRUE,8.3
375,2667,Mi Cocina,33.08953459,-96.68337829,TRUE,8.2
376,2706,Square Burger,33.19788789,-96.6159409,TRUE,8.1
377,1911,Hutchins BBQ & Grill,33.21122022,-96.61541925,TRUE,8.2
378,1504,Rick's Chophouse,33.19746607,-96.61605566,TRUE,8
